Trajectories,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,
,,tt Beau Bras:bras1,,,tt Beau Bras:bras2,,,tt Beau Bras:bras3,,,tt Beau Bras:avantbras2,,,tt Beau Bras:avantbras3,,,tt Beau Bras:main2,,,tt Beau Bras:main3,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
93,0,-999.112,-208.052,1421.25,-1079.94,-188.816,1154.51,-996.321,-157.799,1252.19,-1156.5,-344.205,948.597,-1128.72,-254.543,1027.85,-1192.15,-358.996,901.81,-1149.33,-397.996,943.758
94,0,-997.417,-217.953,1419.69,-1076.54,-198.428,1152.47,-993.359,-167.975,1250.49,-1154.19,-350.309,944.262,-1125.75,-262.68,1025.2,-1189.97,-364.368,897.104,-1147.02,-404.042,938.356
95,0,-995.755,-227.711,1418.76,-1072.75,-208.221,1150.93,-990.218,-178.287,1248.82,-1152.11,-355.885,940.129,-1122.51,-270.075,1022.61,-1187.28,-369.285,892.772,-1144.5,-410.071,933.376
96,0,-993.875,-236.943,1418.27,-1068.9,-218.293,1149.82,-986.794,-189.716,1247.53,-1149.5,-361.205,936.359,-1119.09,-276.765,1020.59,-1184.4,-373.429,888.58,-1141.9,-415.313,928.302
97,0,-991.816,-246.412,1418.25,-1064.66,-227.751,1149.49,-982.959,-198.759,1247.44,-1146.96,-366.02,933.218,-1115.27,-283.514,1019.23,-1181.64,-377.054,885.084,-1139.98,-419.494,923.678
98,0,-989.917,-255.513,1418.95,-1060.44,-237.043,1149.22,-979.119,-208.95,1247.49,-1144.1,-370.551,930.496,-1111.36,-290.319,1018.34,-1178.55,-380.034,881.859,-1137.35,-424.063,919.761
99,0,-987.833,-265.034,1419.63,-1056.11,-246.186,1149.55,-975.205,-218.797,1248.08,-1140.39,-375.368,928.356,-1107.39,-296.313,1017.91,-1175.29,-383.034,878.599,-1135.31,-427.99,916.031
100,0,-985.719,-274.122,1420.83,-1051.6,-254.853,1150.27,-971.537,-228.784,1248.88,-1137.63,-378.449,926.215,-1103.3,-302.487,1017.62,-1172.01,-385.124,876.091,-1133.07,-431.417,912.782
101,0,-983.914,-283.47,1422.36,-1047.11,-263.324,1151.16,-967.839,-238.233,1250.46,-1134.48,-382.097,924.973,-1098.93,-307.929,1018,-1168.46,-387.173,874.003,-1130.81,-435.336,910.815
102,0,-982.206,-292.329,1424.13,-1042.72,-271.174,1152.35,-964.482,-246.947,1252.31,-1131.12,-385.987,924.362,-1094.66,-313.179,1018.19,-1164.78,-388.694,872.792,-1127.59,-439.278,909.508
103,0,-980.503,-301.686,1426.01,-1039.25,-282.225,1151.88,-961.194,-255.92,1254.38,-1127.57,-389.021,923.741,-1090.26,-318.357,1018.89,-1161.04,-389.62,871.834,-1127.07,-440.412,907.027
104,0,-978.959,-310.359,1427.99,-1035.04,-290.211,1153.18,-958.194,-263.906,1256.72,-1124.06,-392.113,923.717,-1085.66,-323.129,1019.83,-1157.55,-391.449,871.111,-1124.28,-444.976,907.53
105,0,-977.483,-318.602,1430.13,-1030.8,-296.832,1154.76,-955.298,-272.511,1258.94,-1121.57,-395.027,923.891,-1081.6,-328.044,1021.01,-1154.19,-393.065,870.881,-1122.99,-447.748,907.312
106,0,-976.053,-327.333,1432.15,-1026.8,-303.51,1156.27,-952.531,-279.592,1261.39,-1118.75,-398.102,924.586,-1077.65,-332.546,1022.12,-1150.62,-394.039,871.065,-1121.99,-450.297,907.507
107,0,-974.753,-335.6,1434.17,-1023.33,-309.83,1157.8,-949.974,-287.191,1263.62,-1115.62,-401.715,925.963,-1073.88,-337.071,1023.62,-1147.04,-395.857,871.754,-1120.99,-452.982,908.485
108,0,-973.493,-343.465,1436.17,-1019.79,-314.923,1160.18,-947.42,-294.592,1266.04,-1113.59,-404.357,926.512,-1070.4,-341.485,1025.01,-1144.12,-397.788,872.742,-1120.74,-454.163,908.668
109,0,-972.227,-351.262,1438.24,-1016.85,-320.954,1162.08,-944.73,-301.525,1268.58,-1110.78,-406.586,927.772,-1067.24,-346.133,1026.75,-1141.15,-399.94,874.257,-1119.9,-457.135,910.69
110,0,-970.938,-358.71,1440.27,-1014.11,-326.066,1163.89,-942.313,-308.3,1271.15,-1108.72,-409.241,929.337,-1064.47,-350.377,1028.51,-1138.35,-402.108,875.997,-1119.3,-459.795,912.748
111,0,-969.671,-365.958,1442.29,-1011.58,-330.73,1166.17,-939.895,-314.804,1273.88,-1106.79,-412.752,931.554,-1061.9,-354.477,1030.47,-1136.11,-404.427,878.301,-1118.75,-462.684,914.914
112,0,-968.5,-373.304,1444.36,-1009.03,-335.32,1168.54,-937.267,-321.163,1276.53,-1105.28,-415.977,933.589,-1059.77,-358.682,1032.59,-1134.32,-407.366,880.485,-1118.37,-465.911,917.563
113,0,-967.252,-381.077,1446.29,-1006.91,-340.112,1170.4,-934.81,-327.72,1279.02,-1103.95,-419.205,935.744,-1058.23,-364.407,1033.62,-1133.08,-410.394,882.987,-1118.37,-468.662,920.061
114,0,-965.93,-388.61,1447.98,-1004.9,-344.354,1172.53,-932.515,-334.841,1281.29,-1102.83,-423.055,938.319,-1056.15,-367.008,1036.5,-1131.85,-413.494,885.906,-1117.82,-472.127,923
115,0,-964.555,-395.674,1449.64,-1002.78,-347.683,1175.19,-929.812,-341.136,1283.71,-1101.92,-426.48,940.526,-1054.8,-370.646,1038.88,-1131.12,-416.626,888.565,-1117.64,-475.337,925.707
116,0,-963.265,-402.965,1451.24,-1000.99,-352.387,1176.9,-927.357,-347.674,1285.8,-1101.46,-430.248,943.207,-1053.4,-374.59,1040.92,-1130.76,-419.869,891.47,-1117.75,-478.778,928.498
117,0,-961.821,-410.045,1452.79,-999.359,-356.946,1178.97,-925.062,-354.435,1287.78,-1101.24,-433.961,945.838,-1052.65,-379.818,1042.46,-1130.57,-423.475,894.25,-1117.49,-482.478,931.254
118,0,-960.419,-416.893,1454.01,-997.763,-360.879,1181.35,-922.588,-360.427,1289.71,-1101.16,-437.622,948.319,-1051.71,-384.034,1044.47,-1130.68,-426.948,896.898,-1117.69,-485.924,933.769
