Trajectories
100
,,Patient 2:bras051,,,Patient 2:bras052,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm
205,0,54.6318,-145.676,1419.8,-44.2475,-67.6755,1254.84
206,0,53.0975,-154.619,1438.43,-51.3666,-79.9189,1275.01
207,0,51.6951,-164.016,1458.47,-57.4337,-92.3996,1296.67
208,0,50.825,-173.855,1479.64,-62.5006,-104.044,1319.67
209,0,50.248,-183.861,1502.07,-66.2235,-115.307,1343.79
210,0,50.2503,-193.516,1525.39,-68.5622,-125.93,1368.5
211,0,50.0305,-204.603,1549.64,-69.4064,-135.607,1393.65
212,0,50.1685,-215.419,1574.54,-68.5527,-144.197,1418.87
213,0,51.1811,-225.985,1599.63,-66.522,-152.554,1444.09
214,0,51.984,-237.922,1625.12,-62.9555,-160.156,1469.23
215,0,53.2032,-249.177,1650.38,-57.9893,-166.797,1494.05
216,0,54.7294,-260.781,1675.35,-51.711,-172.404,1518.44
217,0,56.4699,-271.342,1699.75,-43.9646,-177.314,1542.05
218,0,58.2824,-281.397,1723.36,-34.9491,-181.739,1564.64
219,0,59.685,-290.371,1746.16,-24.5252,-185.545,1586.05
220,0,61.0638,-298.144,1767.87,-13.3199,-188.866,1606.09
221,0,62.0843,-305.096,1788.13,-1.15975,-191.71,1624.29
222,0,62.575,-310.584,1806.82,11.4255,-194.165,1640.61
223,0,62.8881,-315.065,1823.52,25.0212,-196.204,1655.43
224,0,64.9374,-321.257,1837.62,38.4265,-197.328,1668.93
225,0,64.694,-322.183,1849.71,52.285,-198.583,1681.01
226,0,65.6421,-323.987,1859.47,65.7824,-198.951,1691.56
227,0,67.0636,-321.955,1867.28,78.9226,-199.625,1699.97
228,0,69.9361,-318.341,1873.69,90.0801,-201.145,1705.57
229,0,73.3825,-315.797,1878.25,98.2155,-202.643,1708.54
230,0,77.1922,-314.664,1881.1,103.625,-204.345,1709.92
231,0,81.217,-314.716,1883.31,106.189,-206.508,1710.79
232,0,84.756,-316.077,1885.9,107.649,-209.266,1711.71
233,0,87.5258,-317.185,1889.22,108.613,-212.282,1712.92
234,0,90.1891,-317.561,1892.74,109.048,-214.945,1714.46
235,0,93.5927,-317.302,1896.1,109.27,-217.097,1716.04
236,0,98.0518,-316.86,1899.44,110.328,-218.387,1717.86
237,0,101.742,-314.983,1902.23,112.476,-218.908,1719.84
238,0,104.371,-314.447,1904.13,115.187,-218.863,1721.75
239,0,106.463,-315.028,1905.34,117.537,-219.276,1723.38
240,0,108.276,-315.529,1906.27,120.121,-219.517,1724.53
241,0,110.022,-316.729,1907.11,121.83,-220.886,1725.34
242,0,111.512,-317.67,1907.83,122.698,-222.412,1725.89
243,0,112.933,-318.514,1908.65,123.318,-224.097,1726.29
244,0,114.541,-319.94,1909.6,124.069,-226.251,1726.51
245,0,115.775,-320.744,1910.68,124.489,-228.388,1726.77
246,0,117.258,-321.97,1911.54,125.137,-230.476,1727.02
247,0,118.137,-322.093,1912.41,125.568,-232.103,1727.41
248,0,120.077,-323.899,1913.27,126.401,-233.562,1727.94
249,0,121.066,-324.32,1914.06,127.443,-234.955,1728.46
250,0,122.802,-325.657,1914.62,128.307,-235.864,1729.01
251,0,123.48,-325.938,1915.22,129.256,-237.441,1729.5
252,0,124.723,-326.9,1915.63,130.217,-238.878,1729.89
253,0,126.055,-328.054,1915.98,130.87,-240.048,1730.06
254,0,127.321,-329.265,1916.2,131.627,-241.728,1730.11
255,0,128.101,-330.6,1916.35,132.435,-243.498,1730.02
256,0,129.486,-332.26,1916.26,133.033,-244.712,1729.89
257,0,130.348,-333.681,1916.33,133.803,-246.302,1729.73
258,0,131.361,-335.024,1916.09,134.547,-247.783,1729.5
259,0,132.384,-336.181,1916.04,135.213,-249.123,1729.36
260,0,133.422,-337.246,1915.86,135.954,-250.638,1729.05
261,0,134.594,-338.602,1915.64,136.665,-251.629,1728.84
262,0,135.284,-339.282,1915.55,137.269,-253.031,1728.6
263,0,136.677,-340.956,1915.21,137.898,-254.253,1728.36
264,0,137.545,-341.703,1915.01,138.41,-255.097,1728.17
265,0,138.938,-343.112,1914.6,138.888,-256.052,1727.89
266,0,140.024,-344.258,1914.15,139.403,-257.233,1727.49
267,0,141.084,-345.061,1913.79,139.916,-258.364,1727.07
268,0,142.126,-345.948,1913.31,140.373,-259.166,1726.68
269,0,143.234,-347.25,1912.81,140.66,-259.696,1726.29
270,0,144.15,-347.848,1912.31,140.973,-260.066,1725.82
271,0,145.011,-348.539,1911.85,141.346,-260.416,1725.3
272,0,145.952,-349.341,1911.42,141.667,-260.789,1724.78
273,0,146.521,-349.512,1911.04,141.934,-261.263,1724.41
274,0,146.931,-349.673,1910.72,142.239,-261.74,1724.04
275,0,147.257,-349.898,1910.41,142.453,-261.977,1723.77
276,0,147.781,-350.204,1910.17,142.602,-262.148,1723.53
277,0,148.34,-350.453,1909.94,142.789,-262.142,1723.3
278,0,148.713,-350.373,1909.78,142.875,-262.154,1723.24
279,0,149.061,-350.469,1909.66,142.996,-261.87,1723.15
280,0,148.956,-349.821,1909.69,143.043,-261.601,1723.19
281,0,148.947,-349.279,1909.73,143.046,-261.225,1723.28
282,0,148.857,-348.54,1909.89,143.016,-260.745,1723.48
283,0,148.715,-347.704,1910.09,142.786,-260.01,1723.75
284,0,148.712,-347.065,1910.33,142.489,-258.823,1724
285,0,148.612,-345.936,1910.65,142.347,-257.921,1724.14
286,0,148.572,-344.955,1910.98,142.263,-256.923,1724.33
287,0,148.429,-343.72,1911.27,142.097,-256.023,1724.63
288,0,148.055,-342.159,1911.76,141.825,-255.127,1724.95
289,0,147.587,-340.258,1912.18,141.25,-253.686,1725.42
290,0,147.346,-338.772,1912.52,140.826,-251.84,1725.52
291,0,147.165,-337.603,1912.8,140.58,-250.628,1725.8
292,0,146.629,-335.815,1913.3,140.262,-249.582,1726.05
293,0,146.124,-334.083,1913.55,139.567,-248.036,1726.46
294,0,145.569,-332.411,1913.85,138.978,-246.415,1726.44
295,0,144.838,-330.726,1913.99,138.554,-245.476,1726.46
296,0,144.025,-329.019,1914.16,137.686,-244.103,1726.64
297,0,143.424,-327.663,1914.26,136.903,-242.417,1726.63

